ID,English,Bodo,Mizo,Category
0001,Open your notebooks,नायनि फोरमाखौ खेव,I lehkhabu hawng rawh,Classroom Instruction
0002,Close your books,नायनि किताबखौ बन्द थ,I lehkhabu khar rawh,Classroom Instruction
0003,Please sit down,अननानै फुं,Thu rawh le,Classroom Instruction
0004,Stand up everyone,गासै दिंना,Mi zawng ding rawh,Classroom Instruction
0005,Be quiet please,अननानै थिरगोन दङ,Dâwiin dâi la,Classroom Instruction
0006,Pay attention to the board,बोर्ड आव गोहोम सोद,Board kha ngaithla rawh,Classroom Instruction
0007,Turn to page five,पेज पाँच आव गासै फिन,Phek nga hawn rawh,Classroom Instruction
0008,Write this down,बेखौ लिरगोन,Hei hi ziak rawh,Classroom Instruction
0009,Stop talking,फोथाय खौरांगोन,Thu sawi tawh rawh,Classroom Instruction
0010,Listen carefully,मोनो खालामगोन,Ngaithla ṭha takin,Classroom Instruction
0011,Raise your hand,नायनि खुन्थाखौ थोन,I kut kalh rawh,Classroom Instruction
0012,Work in pairs,नैथिनि जुगुथाव गोब थ,Paihra hrang hrangah thawk rawh,Classroom Instruction
0013,Form groups of four,ब्राय गुसुथि मिथिफोर,Mi pali group siam rawh,Classroom Instruction
0014,Copy from the board,बोर्ड नायनो आफादगोन,Board atangin copy rawh,Classroom Instruction
0015,Put away your phones,नायनि फोन फोरायदों,I phone dah rawh,Classroom Instruction
0016,Take out your pens,नायनि कलम गोनां लानो,I pen la chhuak rawh,Classroom Instruction
0017,Look at the screen,स्क्रीन आव नायदोन,Screen kha en rawh,Classroom Instruction
0018,Come to the front,सिगां आव लाबो,Hmabak lam lo rawh,Classroom Instruction
0019,Go back to your seat,नायनि जायगा आव नायनो होयो,I hmun ah kal leh rawh,Classroom Instruction
0020,Clean the blackboard,ब्लैकबोर्ड सुगुखुगोन,Blackboard sil rawh,Classroom Instruction
0021,What is two plus three?,नै ब' थां थामानि जोड़ मा?,Pahnihte leh pathum dawng zat hi engzat nge?,Mathematics
0022,The answer is five,फोराय बा,Chhan chu panga a ni,Mathematics
0023,Solve this equation,बे इक्वेसन सोलभ थ,He equation hi chinfel rawh,Mathematics
0024,Calculate the area,खोंथा गिबिनाय सान थ,He hmun zat hi chhut rawh,Mathematics
0025,Find the perimeter,परिमितिखौ मुंनो,Kimvel zawng chu zat rawh,Mathematics
0026,What is the square root?,स्क्वायर रुट मा?,Square root chu eng nge?,Mathematics
0027,Multiply by ten,दसाव गुन थ,Sawm-in thlakin multiply rawh,Mathematics
0028,Divide this number,बे नम्बरखौ भाग थ,He number hi then rawh,Mathematics
0029,Draw a triangle,सामफोर जिरगुन गोरसिन,Triangle siam rawh,Mathematics
0030,Measure the angle,खोनानायखौ नाफा,Angle hi teh rawh,Mathematics
0031,Today we learn fractions,दिनै बे भिन्नखौ होनना,Tunah fraction kan zir ang,Mathematics
0032,What is half of twenty?,कुइ गासिनि आधा मा?,Sawm panga chanve zat chu eng nge?,Mathematics
0033,Count to one hundred,सै सिम जानो गासै,Za thleng chhiar rawh,Mathematics
0034,Add these numbers,बे नम्बरफोरखौ जोड़ थ,Heng number-te hi dawng rawh,Mathematics
0035,Show your working,नायनि गोबखौ देखायगोन,I thawhhona kha tilang rawh,Mathematics
0036,Check your answer,नायनि फोरायखौ सायगोन,I chhan kha enfin rawh,Mathematics
0037,This is incorrect,बेयो गोजौ नङा,Hei hi dik lo,Mathematics
0038,Very good calculation,बेयै गोजौ सानाय,Chhut dan a tha hle,Mathematics
0039,Write the formula,फर्मुला लिरगोन,Formula ziak rawh,Mathematics
0040,Simplify the expression,एक्स्प्रेसनखौ सरल थ,Expression hi awlsam zawka siam rawh,Mathematics
0041,Today we study plants,दिनै बे गासैफोरखौ होनना,Tunah thing kan zir ang,Science
0042,What is photosynthesis?,फोटोसिन्थेसिस मा?,Photosynthesis chu eng nge?,Science
0043,Observe the experiment,एक्सपेरिमेन्ट नायदोन,Experiment kha en rawh,Science
0044,Mix these chemicals carefully,बे केमिकालफोरखौ मोनो सान सामलाय,Heng chemicals-te hi ngaihtuah takin pawl rawh,Science
